Date and time,actual,predicted,index,lower_bound,upper_bound
2022-02-09 04:00:00,5.6717499999999985,3.916177681969871,2022-02-09 04:00:00,1.994254324838049,5.8381010391016925
2022-02-09 05:00:00,6.170388888888888,4.430687839659496,2022-02-09 05:00:00,2.5087644825276745,6.352611196791319
2022-02-09 06:00:00,8.126444444444445,5.862168736124355,2022-02-09 06:00:00,3.940245378992533,7.784092093256177
2022-02-09 07:00:00,15.367861111111107,14.997908654109501,2022-02-09 07:00:00,13.075985296977679,16.919832011241322
2022-02-09 08:00:00,13.984583333333335,11.786999357959447,2022-02-09 08:00:00,9.865076000827624,13.70892271509127
2022-02-09 09:00:00,10.205694444444445,9.843966582445134,2022-02-09 09:00:00,7.9220432253133115,11.765889939576956
2022-02-09 10:00:00,8.714749999999999,9.183278917038159,2022-02-09 10:00:00,7.261355559906336,11.105202274169981
2022-02-09 11:00:00,6.929722222222222,7.624374788343799,2022-02-09 11:00:00,5.702451431211976,9.546298145475621
2022-02-09 12:00:00,6.170388888888888,6.963395815804589,2022-02-09 12:00:00,5.041472458672768,8.885319172936411
2022-02-09 13:00:00,5.924416666666667,5.937739211840685,2022-02-09 13:00:00,4.015815854708864,7.859662568972507
2022-02-09 14:00:00,5.867027777777777,5.569578558838043,2022-02-09 14:00:00,3.6476552017062214,7.491501915969865
2022-02-09 15:00:00,5.714944444444445,5.676883713904573,2022-02-09 15:00:00,3.754960356772751,7.598807071036395
2022-02-09 16:00:00,5.960500000000001,6.080454761148131,2022-02-09 16:00:00,4.158531404016308,8.002378118279953
2022-02-09 17:00:00,1.7330277777777778,2.289834482993545,2022-02-09 17:00:00,0.36791112586172314,4.211757840125367
2022-02-09 18:00:00,0.11872222222222205,0.0,2022-02-09 18:00:00,-2.3855316632140666,1.4583150510495773
2022-02-09 19:00:00,0.11838888888888875,0.0,2022-02-09 19:00:00,-2.5872235757633137,1.2566231385003301
2022-02-09 20:00:00,0.18563888888888871,0.0,2022-02-09 20:00:00,-2.2486038690456502,1.5952428452179936
2022-02-09 21:00:00,1.2246388888888888,1.6195593509422088,2022-02-09 21:00:00,-0.3023640061896131,3.5414827080740308
2022-02-09 22:00:00,1.738611111111111,2.3838764192928856,2022-02-09 22:00:00,0.4619530621610637,4.305799776424708
2022-02-09 23:00:00,2.7047222222222222,2.9368382727826354,2022-02-09 23:00:00,1.0149149156508135,4.858761629914458
2022-02-10 00:00:00,3.196361111111111,3.6057913277257176,2022-02-10 00:00:00,1.6838679705938957,5.527714684857539
2022-02-10 01:00:00,3.6007777777777776,2.9751395670540477,2022-02-10 01:00:00,1.0532162099222258,4.897062924185869
