Date and time,actual_reporting,predicted_reporting,Indoor_temp_2_measured,Indoor_temp_2_predicted,hour,dayofweek,year
2024-11-08 10:00:00,2.6520833333333327,3.666727819611123,20.32718253968254,20.998696976721853,10,4,2024
2024-11-08 11:00:00,3.4979444444444447,2.7111184403651416,20.934335317460317,21.310739111318615,11,4,2024
2024-11-08 12:00:00,3.0974166666666667,2.600840289754422,21.466517857142858,21.03758554528916,12,4,2024
2024-11-08 13:00:00,2.633472222222222,3.577134690008042,21.111111111111107,21.433913460627583,13,4,2024
2024-11-08 14:00:00,2.6343055555555557,2.95868568570791,21.234027777777776,21.557467325130272,14,4,2024
2024-11-08 15:00:00,2.4377499999999994,3.2620682448062874,21.20044642857143,21.473394497622316,15,4,2024
2024-11-08 16:00:00,0.11313888888888873,1.68011394817733,18.175,20.308934748004173,16,4,2024
2024-11-08 17:00:00,0.11211111111111095,0.0,17.47833333333333,19.191461092890563,17,4,2024
2024-11-08 18:00:00,0.5708611111111109,0.0,17.36654761904762,18.0903673229,18,4,2024
2024-11-08 19:00:00,1.0214444444444444,0.08905613280692215,17.680555555555557,17.767336876393628,19,4,2024
2024-11-08 20:00:00,1.201111111111111,0.35428220880421524,18.112400793650792,17.446597474929582,20,4,2024
2024-11-08 21:00:00,1.7036666666666669,0.5594405399886346,17.99955357142857,17.45456649214245,21,4,2024
2024-11-08 22:00:00,1.9258888888888888,1.059554047460737,18.243253968253967,17.646063783441853,22,4,2024
2024-11-08 23:00:00,2.01125,0.9574701004727038,18.289236111111112,17.640619299928264,23,4,2024
2024-11-09 00:00:00,1.9559722222222224,1.3761797833422742,18.31736111111111,17.50995712700455,0,5,2024
2024-11-09 01:00:00,2.152194444444445,1.2977010423854543,18.26423611111111,17.542616486830433,1,5,2024
2024-11-09 02:00:00,2.2454722222222228,2.2493506061077158,18.513541666666665,17.713200615475365,2,5,2024
2024-11-09 03:00:00,2.5035833333333333,2.3331173716389495,18.50173611111111,17.783847745463476,3,5,2024
2024-11-09 04:00:00,2.276083333333333,2.2174646555949655,18.3671626984127,17.694036728014115,4,5,2024
2024-11-09 05:00:00,2.0912777777777776,2.137001611140282,18.328125,17.550390412659404,5,5,2024
2024-11-09 06:00:00,2.2283055555555555,3.572433015290563,18.389136904761905,17.93263618251281,6,5,2024
2024-11-09 07:00:00,2.380305555555555,3.53961846346857,18.475,18.34462273086896,7,5,2024
2024-11-09 08:00:00,2.543444444444445,3.4346606206801917,18.58125,18.540862029874994,8,5,2024
2024-11-09 09:00:00,1.958555555555555,2.81610615535877,18.400694444444447,18.5736708851996,9,5,2024
2024-11-09 10:00:00,1.9290555555555557,1.847384086419356,18.231597222222224,18.806626696793447,10,5,2024
2024-11-09 11:00:00,1.6002222222222218,1.8031028031136094,18.185416666666665,19.03470660090935,11,5,2024
2024-11-09 12:00:00,1.3285,1.575810371696618,18.125,19.043128625925483,12,5,2024
2024-11-09 13:00:00,1.1666666666666665,1.358317378031626,18.11111111111111,19.18849848478632,13,5,2024
